TSNE1,TSNE2
-53.145924,5.2878184
60.049133,27.74603
61.204605,31.3535
-61.506046,-47.092117
-12.642753,-65.26225
47.73261,62.993206
68.43911,31.834253
20.691135,-34.81704
35.982224,-41.5886
15.329106,-62.55405
13.820646,-61.03617
-5.9129276,63.34845
15.829586,-66.79937
-27.070883,-16.238672
-6.385295,-46.05047
-37.57687,28.008732
26.361317,13.083736
3.5325801,-43.068592
11.511425,-79.11551
-36.204754,-4.5796494
65.744385,29.314207
-42.25879,1.0061333
23.545422,-16.236124
-18.009747,5.3264256
-41.902554,-1.9190161
-48.61011,-3.2720804
-27.36472,-61.46626
-46.526993,20.644543
43.64856,38.34485
32.251534,-69.79061
-22.045317,-2.846296
52.37752,64.417366
-31.04792,-14.6042185
-36.184593,-6.205274
0.87568784,-73.90597
-35.499577,59.400497
17.966537,34.63755
-18.786804,56.260353
-39.439976,27.741371
26.296982,-31.207848
53.247276,-23.797728
34.29015,-66.82638
17.73352,1.9679223
-0.5768284,-71.83599
-11.884875,-17.376295
11.394023,28.746899
20.195154,-17.666857
-6.2984047,55.856556
53.9924,-2.8755527
78.60333,8.610026
-28.592966,-9.620074
10.206068,5.0714164
-50.50884,-5.6309843
13.826699,44.265568
-42.376125,-24.366358
-34.1382,40.046013
23.841719,-10.972569
-59.20094,-53.770836
50.71076,5.0210867
67.068695,18.342531
-32.819336,-42.55007
-11.4617195,-45.77836
20.021505,-33.255234
42.21794,12.389715
22.062283,22.425821
9.410723,-36.56981
31.980087,-0.4225969
1.0386232,-27.728903
75.21854,17.378023
-56.64545,-56.907013
-12.53001,2.5233588
13.1343,-60.942127
45.80177,-40.883553
17.797548,11.189012
-56.948517,27.79515
64.324524,23.796036
25.534788,-29.594126
-49.564655,44.892845
3.6451302,-22.558167
-52.444046,-38.63466
56.751427,7.53714
22.015015,-55.511055
-15.913885,28.65655
-25.207865,18.783754
-2.404904,-37.27682
-15.611714,50.238472
-12.039584,-13.08653
-3.0210123,-34.958824
54.924374,33.46037
-58.138206,-50.940994
-5.0167766,59.61388
5.117134,51.60022
-36.780785,-36.33063
14.301363,-29.11686
-19.210924,31.172766
38.543564,-55.06289
-29.498829,-53.681686
-17.942095,8.154006
-46.729805,-34.39483
42.70232,-15.507767
-47.06823,-51.558495
11.48971,3.125109
2.3186257,-60.57137
73.34019,20.875757
-18.79131,-35.869106
-45.659935,-49.6663
-2.354914,-2.5008852
64.35458,-0.4822662
14.340091,22.900743
21.109121,-48.55848
39.86089,-46.64171
-16.740713,-2.38656
-49.599964,17.676065
43.345467,66.45788
-3.6102896,-24.098715
-44.348347,17.552343
44.168896,-40.77553
51.7009,-42.15609
44.995834,72.05263
58.14013,-14.789558
-47.11836,37.25089
-14.487061,21.9502
-0.68276423,24.474812
-19.298132,37.83183
-45.905216,-58.661133
17.767311,59.398335
-19.572817,23.908651
-60.965378,-45.89905
7.0448866,-8.965565
58.708836,20.463646
50.58579,-43.198414
41.542076,29.877653
-27.949762,59.0684
-1.5500498,86.29849
-42.50795,41.08514
12.653718,10.040976
24.898624,-36.56675
7.931927,29.754156
-15.141213,-25.077473
5.972158,32.882057
45.604767,-55.52816
-7.7069306,38.999958
-35.829895,-7.0454707
-18.961426,13.454494
11.914752,-46.77556
32.55839,-68.36425
-47.040413,-45.7297
-12.261647,-43.557873
54.938698,-17.845278
-27.71962,50.54917
62.49091,3.5971167
-58.347725,33.173923
-4.417901,21.523878
12.022208,53.62912
-42.84714,12.971162
27.416542,48.90539
-20.88097,-13.167371
-63.771595,37.064613
71.76485,28.875975
26.644367,-16.525478
-2.9563715,48.86716
-31.356762,-31.915468
-27.438107,16.63706
8.129073,19.550201
39.72541,30.464594
33.8958,-41.31588
20.989307,-33.943077
55.647827,13.825109
50.75332,36.26052
20.880983,-49.36363
56.45049,-25.57785
25.38142,17.657598
-54.624912,-55.010742
-55.20697,-46.54011
-43.448265,28.525436
-8.153336,-11.476116
-7.819142,-29.011503
-81.68891,25.78651
47.450962,24.557178
12.698671,-80.13815
43.54613,38.90956
40.040764,-28.341618
73.35965,14.631163
-1.0739124,15.432103
-3.0082831,-11.639826
34.026176,1.2862748
-22.065807,-17.968708
-11.894439,71.2704
23.698719,-53.282692
-12.262692,-61.759636
1.1874353,-5.1031094
15.23628,29.818556
-7.4813876,-25.063007
10.486104,42.250843
13.70199,48.745586
-9.823093,22.195051
4.9604726,5.375
8.497852,-66.0234
-12.709315,-22.871494
10.616527,55.924217
-27.829115,-41.397766
-25.76246,61.85074
19.303534,-58.221416
-26.235336,-33.643433
-59.80397,22.308428
26.770998,-58.101376
-1.1528617,84.11703
13.760498,-2.736178
-9.163974,59.57989
-24.624523,-46.271175
-2.7500513,87.012665
13.984495,42.44896
12.163311,65.94078
1.7033046,-10.261835
